id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,candidate,tweet_without_stopwords,Subjectivity,Polarity,Analysis
1615498157328060000.00,1615498157328060000.00,1673999749000.00,1/18/2023 0:55,100,,without being immodest the structure of political campaigns in nigeria has shown that bola tinubus dexterity and mastery of the game of politics is actually solid the organisation of his campaignsthe strategy and the choice of the places he has,en,[],[],1230706794806140000.00,1230706794806140000.00,NewsOneNG,News OneNigeria,3,0,https://twitter.com/NewsOneNG/status/1615498157328064512,['https://newsoneng.com/2023/01/17/a-word-for-bola-tinubu-by-abiodun-komolafe/'],['https://pbs.twimg.com/media/FmtnA0UWQAIr4_E.jpg'],1,https://pbs.twimg.com/media/FmtnA0UWQAIr4_E.jpg,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,without immodest structure political campaigns nigeria shown bola tinubus dexterity mastery game politics actually solid organisation campaignsthe strategy choice places,0.2,-0.133333333,Negative
1615497004863320000.00,1615497004863320000.00,1673999475000.00,1/18/2023 0:51,100,,sky news is dragging bola tinubu with his word on campaign all i want to do is dance  international disgrace,en,[],[],1335301540463200000.00,1335301540463200000.00,IkukuomaC,Chief Ikukuoma,3,0,https://twitter.com/IkukuomaC/status/1615497004863324160,[],[],0,,FALSE,4336,60,1585,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,sky news dragging bola tinubu word campaign want dance international disgrace,0,0,Neutral
1615496703888720000.00,1615496703888720000.00,1673999403000.00,1/18/2023 0:50,100,,i will quit tinubus campaign if asked not to pursue atikus case  keyamo by temidayo akinsuyi   chief spokesperson of the tinubushettima presidential campaign council festus keyamo san on tuesday said he will quit his role if asiwaju bola tinubu,en,[],[],204481211.00,204481211.00,nairaland,Nairaland Forum,3,0,https://twitter.com/nairaland/status/1615496703888723969,['http://dlvr.it/Sh2TGR'],[],0,,FALSE,1,1,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,quit tinubus campaign asked pursue atikus case keyamo temidayo akinsuyi chief spokesperson tinubushettima presidential campaign council festus keyamo san tuesday said quit role asiwaju bola tinubu,0,0,Neutral
1615493429563390000.00,1615493429563390000.00,1673998622000.00,1/18/2023 0:37,100,,dipo awojide reacts to threats accusations because of his political choice dr ogbeni dapo cries out about threat to life and blackmail by obidients just because of his support for asiwaju bola tinubu  someone even made an allegation that he was,en,[],[],204481211.00,204481211.00,nairaland,Nairaland Forum,3,0,https://twitter.com/nairaland/status/1615493429563396096,['http://dlvr.it/Sh2SBB'],[],0,,FALSE,1,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,dipo awojide reacts threats accusations political choice dr ogbeni dapo cries threat life blackmail obidients support asiwaju bola tinubu someone even made allegation,0.1,0,Neutral
1615492997659130000.00,1615492997659130000.00,1673998519000.00,1/18/2023 0:35,100,,all i want to do is dance  bola tinubu,en,[],[],64186973.00,64186973.00,jerrynwobodo,Jerry Nwobodo,3,0,https://twitter.com/jerrynwobodo/status/1615492997659131905,[],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,want dance bola tinubu,0,0,Neutral
1615492839315750000.00,1615492839315750000.00,1673998481000.00,1/18/2023 0:34,100,,madam oby is working for the apc amp bola ahmed tinubu,en,[],[],298731972.00,298731972.00,Ucijomanta,UCHE IJOMANTA (Mikano Chief),3,0,https://twitter.com/Ucijomanta/status/1615492839315759105,[],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,madam oby working apc amp bola ahmed tinubu,0,0,Neutral
1615492377371600000.00,1615418921221290000.00,1673998371000.00,1/18/2023 0:32,100,,atiku abubakar amp alhaji ahmed bola tinubu are part of problems currently facing nigeria nigerians shouldnt vote for both of them,en,[],[],746446578207043000.00,746446578207043000.00,chieze77,Chidozie Ezeozue,3,0,https://twitter.com/chieze77/status/1615492377371607041,[],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,"[{'screen_name': 'channelstv', 'name': 'Channels Television', 'id': '125346858'}]",,,,,Bola Ahmed Tinubu,atiku abubakar amp alhaji ahmed bola tinubu part problems currently facing nigeria nigerians shouldnt vote,0.4,0,Neutral
1615491812637950000.00,1615491812637950000.00,1673998237000.00,1/18/2023 0:30,100,,atiku abubakar and bola ahmed tinubu can not absolve themselves from the failures of buhari failures  only peter obi didnt campaign for buhari and apc in   this is why we believe peter is better,en,[],[],1277974774791100000.00,1277974774791100000.00,T_akinpade,Toluwani (LP)👨‍👩‍👦,3,0,https://twitter.com/T_akinpade/status/1615491812637958144,[],[],0,,FALSE,140,2,58,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,atiku abubakar bola ahmed tinubu absolve failures buhari failures peter obi didnt campaign buhari apc believe peter better,0.5,0.5,Positive
1615490941468400000.00,1615490941468400000.00,1673998029000.00,1/18/2023 0:27,100,,presidential election asiwaju bola tinubu is the best visionary intelligent amp well exposed leader with track records among those contesting for the  presidential election atiku of pdp amp obi of labour party are fraudulent individuals amp not fit to hold public office,en,[],[],1583095752456380000.00,1583095752456380000.00,AnthonyReoa,Reoa Chukwumeka Anthony,3,0,https://twitter.com/AnthonyReoa/status/1615490941468409857,[],[],0,,FALSE,1,0,1,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,presidential election asiwaju bola tinubu best visionary intelligent amp well exposed leader track records among contesting presidential election atiku pdp amp obi labour party fraudulent individuals amp fit hold public office,0.416666667,0.55,Positive
1615490420938800000.00,1615490420938800000.00,1673997905000.00,1/18/2023 0:25,100,,we must accept the reality so far that asiwaju bola ahmed tinubu is the next president of nigeria  his outstanding records of achievements are unmatched to any presidential candidate in nigeria  all patriotic nigerians will rally behind records not fake promises amp wrong figures,en,[],[],1348062291552570000.00,1348062291552570000.00,Tinubu_NYSN,Tinubu Northern-Youth Support Network (TNSN),3,0,https://twitter.com/Tinubu_NYSN/status/1615490420938801153,[],['https://pbs.twimg.com/media/Fmtf-JaXgAE4Kf9.jpg'],1,https://pbs.twimg.com/media/Fmtf-JaXgAE4Kf9.jpg,FALSE,1,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,must accept reality far asiwaju bola ahmed tinubu next president nigeria outstanding records achievements unmatched presidential candidate nigeria patriotic nigerians rally behind records fake promises amp wrong figures,0.745833333,-0.133333333,Negative
